place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Jaffna Fort,Historical,Jaffna,Jaffna,4.5,0,500,9.6612,80.0088,Low,Portuguese-built Dutch fort overlooking the sea,"fort,colonial,historical,north"
2,Nainativu Island,Religious,Jaffna,Jaffna,3.5,500,1500,9.6559,79.962,Low,Sacred island with Naga Pooshani Ambal temple accessible by boat,"island,temple,hindu,boat,religious"
3,Keerimalai Springs,Religious,Jaffna,Jaffna,3.9,0,500,9.8167,80.0333,Low,Sacred natural spring with ancient Hindu temple,"spring,temple,hindu,sacred,religious"
4,Casuarina Beach,Beach,Jaffna,Jaffna,3.8,200,1000,9.8167,80.0833,Low,Most beautiful beach in Jaffna with white sand,"beach,north,peaceful,scenic"
5,Jaffna Public Library,Historical,Jaffna,Jaffna,4.6,0,200,9.6615,80.0044,Low,Iconic library rebuilt after destruction - symbol of Tamil culture,"library,cultural,historical,landmark"
6,Kantarodai,Historical,Jaffna,Jaffna,4.5,300,800,9.7167,80.0333,Low,Ancient Buddhist ruins with hundreds of miniature dagobas,"ruins,buddhist,ancient,historical"
7,Nagadeepa Temple,Religious,Jaffna,Jaffna,4.8,500,1500,9.6833,79.85,Low,Ancient Buddhist temple on island - sacred pilgrimage site,"temple,buddhist,island,pilgrimage,religious"
8,Vallipuram Temple,Religious,Jaffna,Jaffna,3.6,0,500,9.8,80.1333,Low,Ancient Hindu temple with 2000-year history,"temple,hindu,ancient,religious"
9,Point Pedro,Nature,Jaffna,Jaffna,4.1,200,800,9.8167,80.2333,Low,Northernmost point of Sri Lanka with lighthouse,"lighthouse,northernmost,scenic,nature"
10,Delft Island,Nature,Jaffna,Jaffna,3.5,1000,3000,9.6833,79.6833,Medium,Remote island with wild ponies and ancient ruins,"island,ponies,ruins,remote,nature"
11,Jaffna Clock Tower,Historical,Jaffna,Jaffna,3.8,0,200,9.6614,80.0074,Low,Colonial-era clock tower in Jaffna town center,"clock,colonial,landmark,historical"
12,Chundikulam Bird Sanctuary,Wildlife,Jaffna,Jaffna,4.3,1000,2500,9.6333,80.3167,Medium,Important bird sanctuary in northern Sri Lanka,"birds,wildlife,sanctuary,nature"
13,Kayts Island,Nature,Jaffna,Jaffna,3.5,300,1000,9.6667,79.9167,Low,Peaceful island with scenic lagoon views,"island,lagoon,peaceful,nature"
14,Manipay Hindu Temple,Religious,Jaffna,Jaffna,3.8,0,300,9.7167,80.0667,Low,Beautiful Hindu temple with colorful gopuram,"temple,hindu,gopuram,religious"
15,Jaffna Market,Cultural,Jaffna,Jaffna,4.5,200,500,9.6614,80.0066,Low,Vibrant local market with authentic northern Sri Lanka culture,"market,culture,local,food"
16,Point Pedro,Nature,Jaffna,Jaffna,3.8,200,800,9.8167,80.2333,Low,Northernmost point of Sri Lanka with lighthouse,"lighthouse,northernmost,scenic,nature"
17,Vallipuram Temple,Religious,Jaffna,Jaffna,4.2,0,500,9.8,80.1333,Low,Ancient Hindu temple with 2000-year history,"temple,hindu,ancient,religious"
18,Kayts Island,Nature,Jaffna,Jaffna,4.7,300,1000,9.6667,79.9167,Low,Peaceful island with scenic lagoon views,"island,lagoon,peaceful,nature"
19,Kayts Island,Nature,Jaffna,Jaffna,4.6,300,1000,9.6667,79.9167,Low,Peaceful island with scenic lagoon views,"island,lagoon,peaceful,nature"
20,Chundikulam Bird Sanctuary,Wildlife,Jaffna,Jaffna,3.8,1000,2500,9.6333,80.3167,Medium,Important bird sanctuary in northern Sri Lanka,"birds,wildlife,sanctuary,nature"
21,Jaffna Public Library,Historical,Jaffna,Jaffna,3.3,0,200,9.6615,80.0044,Low,Iconic library rebuilt after destruction - symbol of Tamil culture,"library,cultural,historical,landmark"
22,Kayts Island,Nature,Jaffna,Jaffna,3.7,300,1000,9.6667,79.9167,Low,Peaceful island with scenic lagoon views,"island,lagoon,peaceful,nature"
23,Nainativu Island,Religious,Jaffna,Jaffna,3.8,500,1500,9.6559,79.962,Low,Sacred island with Naga Pooshani Ambal temple accessible by boat,"island,temple,hindu,boat,religious"
24,Kantarodai,Historical,Jaffna,Jaffna,4.7,300,800,9.7167,80.0333,Low,Ancient Buddhist ruins with hundreds of miniature dagobas,"ruins,buddhist,ancient,historical"
25,Delft Island,Nature,Jaffna,Jaffna,3.5,1000,3000,9.6833,79.6833,Medium,Remote island with wild ponies and ancient ruins,"island,ponies,ruins,remote,nature"
26,Jaffna Fort,Historical,Jaffna,Jaffna,4.5,0,500,9.6612,80.0088,Low,Portuguese-built Dutch fort overlooking the sea,"fort,colonial,historical,north"
27,Point Pedro,Nature,Jaffna,Jaffna,3.2,200,800,9.8167,80.2333,Low,Northernmost point of Sri Lanka with lighthouse,"lighthouse,northernmost,scenic,nature"
28,Jaffna Market,Cultural,Jaffna,Jaffna,3.8,200,500,9.6614,80.0066,Low,Vibrant local market with authentic northern Sri Lanka culture,"market,culture,local,food"
29,Point Pedro,Nature,Jaffna,Jaffna,3.6,200,800,9.8167,80.2333,Low,Northernmost point of Sri Lanka with lighthouse,"lighthouse,northernmost,scenic,nature"
30,Jaffna Clock Tower,Historical,Jaffna,Jaffna,4.2,0,200,9.6614,80.0074,Low,Colonial-era clock tower in Jaffna town center,"clock,colonial,landmark,historical"
31,Manipay Hindu Temple,Religious,Jaffna,Jaffna,3.7,0,300,9.7167,80.0667,Low,Beautiful Hindu temple with colorful gopuram,"temple,hindu,gopuram,religious"
32,Casuarina Beach,Beach,Jaffna,Jaffna,4.4,200,1000,9.8167,80.0833,Low,Most beautiful beach in Jaffna with white sand,"beach,north,peaceful,scenic"
33,Jaffna Fort,Historical,Jaffna,Jaffna,4.3,0,500,9.6612,80.0088,Low,Portuguese-built Dutch fort overlooking the sea,"fort,colonial,historical,north"
