place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.1,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
2,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,4.5,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
3,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,4.6,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
4,Kilinochchi Town Center,Cultural,Kilinochchi,Kilinochchi,3.9,100,400,9.3897,80.4006,Low,War-rebuilt town showing resilience and reconstruction,"culture,town,historical,resilience"
5,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.7,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
6,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,3.8,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
7,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.7,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
8,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.4,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
9,Kilinochchi Town Center,Cultural,Kilinochchi,Kilinochchi,3.7,100,400,9.3897,80.4006,Low,War-rebuilt town showing resilience and reconstruction,"culture,town,historical,resilience"
10,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.4,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
11,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.8,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
12,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,4.7,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
13,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.7,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
14,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.8,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
15,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.7,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
16,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,3.2,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
17,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.4,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
18,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.1,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
19,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.9,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
20,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.9,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
21,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.2,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
22,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,3.4,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
23,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.4,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
24,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.0,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
25,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,4.4,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
26,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.7,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
27,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.9,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
28,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,4.2,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
29,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,4.4,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
30,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,4.0,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
31,Kilinochchi Town Center,Cultural,Kilinochchi,Kilinochchi,3.7,100,400,9.3897,80.4006,Low,War-rebuilt town showing resilience and reconstruction,"culture,town,historical,resilience"
32,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,4.1,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
33,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.8,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
34,Kilinochchi Town Center,Cultural,Kilinochchi,Kilinochchi,4.4,100,400,9.3897,80.4006,Low,War-rebuilt town showing resilience and reconstruction,"culture,town,historical,resilience"
35,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,4.2,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
36,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.8,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
37,Kilinochchi Water Tower,Historical,Kilinochchi,Kilinochchi,3.6,0,300,9.3833,80.4,Low,Iconic water tower damaged in war - symbol of resilience,"tower,war,historical,landmark"
38,Giant Water Tank,Nature,Kilinochchi,Kilinochchi,3.9,0,500,9.35,80.3833,Low,Large ancient irrigation tank with scenic views,"tank,nature,scenic,ancient"
39,Poovarasankulam,Nature,Kilinochchi,Kilinochchi,4.2,0,400,9.4167,80.3833,Low,Ancient tank with diverse bird species,"tank,birds,nature,peaceful"
40,Iranamadu Tank,Nature,Kilinochchi,Kilinochchi,3.9,0,500,9.3167,80.35,Low,Large irrigation reservoir with bird watching,"tank,birds,nature,scenic"
