place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Galle Fort,Historical,Galle,Galle,4.1,0,1000,6.0296,80.217,Low,UNESCO World Heritage Dutch colonial fort,"UNESCO,fort,colonial,historical"
2,Unawatuna Beach,Beach,Galle,Galle,4.6,300,1500,6.009,80.249,Low,Sheltered bay with coral reefs,"beach,coral,snorkeling,relaxation"
3,Hikkaduwa Beach,Beach,Galle,Galle,4.8,400,1800,6.1391,80.1027,Low,Vibrant beach with coral sanctuary,"beach,coral,surf,turtle"
4,Jungle Beach,Beach,Galle,Galle,3.8,200,800,6.0167,80.25,Low,Hidden beach accessible by foot,"beach,hidden,secret,nature"
5,Rumassala,Nature,Galle,Galle,3.7,0,500,6.0167,80.2333,Low,Hill with medicinal herbs and ocean views,"hill,herbs,nature,scenic"
6,Japanese Peace Pagoda,Religious,Galle,Galle,3.8,0,400,6.0333,80.2333,Low,White Buddhist pagoda with ocean view,"pagoda,buddhist,peace,scenic,religious"
7,Koggala Lake,Nature,Galle,Galle,3.9,500,1500,5.9833,80.3333,Medium,Scenic lake with boat rides and bird watching,"lake,birds,boat,nature"
8,Martin Wickramasinghe Museum,Historical,Galle,Galle,4.1,200,600,5.9667,80.35,Low,Cultural museum of famous Sri Lankan author,"museum,culture,historical,literary"
9,Jungle Beach,Beach,Galle,Galle,3.8,200,800,6.0167,80.25,Low,Hidden beach accessible by foot,"beach,hidden,secret,nature"
10,Jungle Beach,Beach,Galle,Galle,3.1,200,800,6.0167,80.25,Low,Hidden beach accessible by foot,"beach,hidden,secret,nature"
11,Martin Wickramasinghe Museum,Historical,Galle,Galle,3.1,200,600,5.9667,80.35,Low,Cultural museum of famous Sri Lankan author,"museum,culture,historical,literary"
12,Koggala Lake,Nature,Galle,Galle,3.3,500,1500,5.9833,80.3333,Medium,Scenic lake with boat rides and bird watching,"lake,birds,boat,nature"
13,Martin Wickramasinghe Museum,Historical,Galle,Galle,3.4,200,600,5.9667,80.35,Low,Cultural museum of famous Sri Lankan author,"museum,culture,historical,literary"
14,Japanese Peace Pagoda,Religious,Galle,Galle,3.3,0,400,6.0333,80.2333,Low,White Buddhist pagoda with ocean view,"pagoda,buddhist,peace,scenic,religious"
15,Jungle Beach,Beach,Galle,Galle,4.3,200,800,6.0167,80.25,Low,Hidden beach accessible by foot,"beach,hidden,secret,nature"
16,Rumassala,Nature,Galle,Galle,3.4,0,500,6.0167,80.2333,Low,Hill with medicinal herbs and ocean views,"hill,herbs,nature,scenic"
