place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Anuradhapura Sacred City,Historical,Anuradhapura,Anuradhapura,4.1,500,2000,8.3114,80.4037,Low,Ancient capital - UNESCO World Heritage Site,"UNESCO,ancient,historical,buddhist"
2,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,4.3,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
3,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,4.2,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
4,Jetavanaramaya,Historical,Anuradhapura,Anuradhapura,3.7,500,2000,8.3528,80.4003,Low,Once tallest structure in ancient world,"dagoba,ancient,tallest,historical"
5,Thuparama Dagoba,Religious,Anuradhapura,Anuradhapura,4.5,300,1000,8.35,80.3972,Low,First dagoba built in Sri Lanka,"dagoba,first,ancient,religious"
6,Mihintale,Religious,Anuradhapura,Anuradhapura,4.4,300,1000,8.35,80.5167,Low,Where Buddhism was introduced to Sri Lanka,"buddhism,sacred,historical,religious"
7,Wilpattu National Park,Wildlife,Anuradhapura,Anuradhapura,4.0,4000,12000,8.455,80.0438,High,Largest park - leopards and natural villus,"leopard,wildlife,safari,nature"
8,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,4.5,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
9,Aukana Buddha Statue,Religious,Anuradhapura,Anuradhapura,4.5,300,800,8.0333,80.5833,Low,Magnificent 5th century standing Buddha statue,"buddha,statue,ancient,religious"
10,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,3.9,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
11,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,4.4,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
12,Wilpattu National Park,Wildlife,Anuradhapura,Anuradhapura,4.7,4000,12000,8.455,80.0438,High,Largest park - leopards and natural villus,"leopard,wildlife,safari,nature"
13,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,4.0,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
14,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,3.2,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
15,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,4.6,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
16,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,3.4,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
17,Jetavanaramaya,Historical,Anuradhapura,Anuradhapura,4.6,500,2000,8.3528,80.4003,Low,Once tallest structure in ancient world,"dagoba,ancient,tallest,historical"
18,Aukana Buddha Statue,Religious,Anuradhapura,Anuradhapura,4.9,300,800,8.0333,80.5833,Low,Magnificent 5th century standing Buddha statue,"buddha,statue,ancient,religious"
19,Mihintale,Religious,Anuradhapura,Anuradhapura,4.4,300,1000,8.35,80.5167,Low,Where Buddhism was introduced to Sri Lanka,"buddhism,sacred,historical,religious"
20,Thuparama Dagoba,Religious,Anuradhapura,Anuradhapura,3.3,300,1000,8.35,80.3972,Low,First dagoba built in Sri Lanka,"dagoba,first,ancient,religious"
21,Aukana Buddha Statue,Religious,Anuradhapura,Anuradhapura,4.0,300,800,8.0333,80.5833,Low,Magnificent 5th century standing Buddha statue,"buddha,statue,ancient,religious"
22,Jetavanaramaya,Historical,Anuradhapura,Anuradhapura,4.4,500,2000,8.3528,80.4003,Low,Once tallest structure in ancient world,"dagoba,ancient,tallest,historical"
23,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,3.7,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
24,Anuradhapura Sacred City,Historical,Anuradhapura,Anuradhapura,3.0,500,2000,8.3114,80.4037,Low,Ancient capital - UNESCO World Heritage Site,"UNESCO,ancient,historical,buddhist"
25,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,4.8,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
26,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,4.3,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
27,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,4.9,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
28,Aukana Buddha Statue,Religious,Anuradhapura,Anuradhapura,3.2,300,800,8.0333,80.5833,Low,Magnificent 5th century standing Buddha statue,"buddha,statue,ancient,religious"
29,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,4.8,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
30,Jetavanaramaya,Historical,Anuradhapura,Anuradhapura,3.9,500,2000,8.3528,80.4003,Low,Once tallest structure in ancient world,"dagoba,ancient,tallest,historical"
31,Thuparama Dagoba,Religious,Anuradhapura,Anuradhapura,3.5,300,1000,8.35,80.3972,Low,First dagoba built in Sri Lanka,"dagoba,first,ancient,religious"
32,Anuradhapura Sacred City,Historical,Anuradhapura,Anuradhapura,3.2,500,2000,8.3114,80.4037,Low,Ancient capital - UNESCO World Heritage Site,"UNESCO,ancient,historical,buddhist"
33,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,4.7,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
34,Thuparama Dagoba,Religious,Anuradhapura,Anuradhapura,3.7,300,1000,8.35,80.3972,Low,First dagoba built in Sri Lanka,"dagoba,first,ancient,religious"
35,Mihintale,Religious,Anuradhapura,Anuradhapura,3.9,300,1000,8.35,80.5167,Low,Where Buddhism was introduced to Sri Lanka,"buddhism,sacred,historical,religious"
36,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,3.2,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
37,Anuradhapura Sacred City,Historical,Anuradhapura,Anuradhapura,3.0,500,2000,8.3114,80.4037,Low,Ancient capital - UNESCO World Heritage Site,"UNESCO,ancient,historical,buddhist"
38,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,4.3,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
39,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,3.7,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
40,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,4.9,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
41,Thuparama Dagoba,Religious,Anuradhapura,Anuradhapura,4.8,300,1000,8.35,80.3972,Low,First dagoba built in Sri Lanka,"dagoba,first,ancient,religious"
42,Sri Maha Bodhi,Religious,Anuradhapura,Anuradhapura,3.7,300,1000,8.3456,80.3972,Low,Sacred fig tree grown from cutting of Buddha's tree,"bodhi,tree,sacred,buddhist,religious"
43,Mihintale,Religious,Anuradhapura,Anuradhapura,3.4,300,1000,8.35,80.5167,Low,Where Buddhism was introduced to Sri Lanka,"buddhism,sacred,historical,religious"
44,Wilpattu National Park,Wildlife,Anuradhapura,Anuradhapura,3.8,4000,12000,8.455,80.0438,High,Largest park - leopards and natural villus,"leopard,wildlife,safari,nature"
45,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,3.5,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
46,Wilpattu National Park,Wildlife,Anuradhapura,Anuradhapura,4.4,4000,12000,8.455,80.0438,High,Largest park - leopards and natural villus,"leopard,wildlife,safari,nature"
47,Ritigala Ruins,Historical,Anuradhapura,Anuradhapura,4.6,300,1000,8.1014,80.6875,Low,Remote ancient monastery ruins in wilderness,"ruins,ancient,remote,monastery"
48,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,3.2,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
49,Anuradhapura Sacred City,Historical,Anuradhapura,Anuradhapura,5.0,500,2000,8.3114,80.4037,Low,Ancient capital - UNESCO World Heritage Site,"UNESCO,ancient,historical,buddhist"
50,Ruwanwelisaya Dagoba,Religious,Anuradhapura,Anuradhapura,3.2,500,2000,8.3481,80.3959,Low,One of tallest ancient dagobas - 2nd century BC,"dagoba,ancient,buddhist,religious"
51,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,4.0,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
52,Abhayagiri Monastery,Historical,Anuradhapura,Anuradhapura,4.4,500,2000,8.3564,80.3969,Low,Ancient monastery complex - UNESCO site,"monastery,ancient,UNESCO,historical"
