place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Mullaitivu Beach,Beach,Mullaitivu,Mullaitivu,4.2,200,800,9.2667,80.8167,Low,Scenic beach on northeastern coast,"beach,scenic,north,peaceful"
2,Nanthikadal Lagoon,Nature,Mullaitivu,Mullaitivu,4.9,0,400,9.1833,80.8,Low,Large lagoon with diverse wildlife,"lagoon,wildlife,nature,scenic"
3,Kokkilai Lagoon,Wildlife,Mullaitivu,Mullaitivu,4.3,500,1500,9.0333,80.8167,Medium,Important bird sanctuary with flamingos,"flamingo,birds,lagoon,wildlife"
4,Chundikulam,Wildlife,Mullaitivu,Mullaitivu,4.7,800,2000,9.6333,80.3167,Medium,Protected wildlife area in north,"wildlife,protected,nature,birds"
5,Mullaitivu War Memorial,Historical,Mullaitivu,Mullaitivu,4.6,0,300,9.2667,80.8167,Low,Memorial site of historical significance,"memorial,historical,war,landmark"
6,Mullaitivu Beach,Beach,Mullaitivu,Mullaitivu,3.9,200,800,9.2667,80.8167,Low,Scenic beach on northeastern coast,"beach,scenic,north,peaceful"
7,Nanthikadal Lagoon,Nature,Mullaitivu,Mullaitivu,4.1,0,400,9.1833,80.8,Low,Large lagoon with diverse wildlife,"lagoon,wildlife,nature,scenic"
8,Kokkilai Lagoon,Wildlife,Mullaitivu,Mullaitivu,3.2,500,1500,9.0333,80.8167,Medium,Important bird sanctuary with flamingos,"flamingo,birds,lagoon,wildlife"
9,Kokkilai Lagoon,Wildlife,Mullaitivu,Mullaitivu,4.3,500,1500,9.0333,80.8167,Medium,Important bird sanctuary with flamingos,"flamingo,birds,lagoon,wildlife"
10,Kokkilai Lagoon,Wildlife,Mullaitivu,Mullaitivu,3.9,500,1500,9.0333,80.8167,Medium,Important bird sanctuary with flamingos,"flamingo,birds,lagoon,wildlife"
11,Chundikulam,Wildlife,Mullaitivu,Mullaitivu,3.3,800,2000,9.6333,80.3167,Medium,Protected wildlife area in north,"wildlife,protected,nature,birds"
12,Chundikulam,Wildlife,Mullaitivu,Mullaitivu,3.7,800,2000,9.6333,80.3167,Medium,Protected wildlife area in north,"wildlife,protected,nature,birds"
13,Mullaitivu Beach,Beach,Mullaitivu,Mullaitivu,4.5,200,800,9.2667,80.8167,Low,Scenic beach on northeastern coast,"beach,scenic,north,peaceful"
14,Kokkilai Lagoon,Wildlife,Mullaitivu,Mullaitivu,4.2,500,1500,9.0333,80.8167,Medium,Important bird sanctuary with flamingos,"flamingo,birds,lagoon,wildlife"
15,Chundikulam,Wildlife,Mullaitivu,Mullaitivu,3.5,800,2000,9.6333,80.3167,Medium,Protected wildlife area in north,"wildlife,protected,nature,birds"
