place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Nuwara Eliya Tea Plantations,Nature,NuwaraEliya,NuwaraEliya,3.6,1500,4000,6.9497,80.7891,Medium,Beautiful tea country - Little England,"tea,plantation,colonial,nature"
2,Horton Plains,Nature,NuwaraEliya,NuwaraEliya,4.3,2000,5000,6.802,80.803,Medium,Misty plateau with World's End cliff,"plateau,worldsend,nature,hiking"
3,World's End Viewpoint,Nature,NuwaraEliya,NuwaraEliya,3.8,2000,5000,6.7967,80.8028,Medium,Dramatic 880m cliff drop,"cliff,viewpoint,dramatic,nature"
4,Gregory Lake,Nature,NuwaraEliya,NuwaraEliya,4.8,300,1000,6.9497,80.7861,Low,Scenic lake in Nuwara Eliya town,"lake,scenic,boating,nature"
5,Victoria Park,Nature,NuwaraEliya,NuwaraEliya,4.1,200,600,6.9497,80.7891,Low,Beautiful park with diverse bird species,"park,birds,flowers,nature"
6,Seetha Amman Temple,Religious,NuwaraEliya,NuwaraEliya,3.7,0,400,6.9769,80.7714,Low,Hindu temple linked to Ramayana story,"temple,hindu,ramayana,religious"
7,Moon Plains,Nature,NuwaraEliya,NuwaraEliya,3.7,200,800,6.8667,80.7833,Low,Scenic highland plains with mountain views,"plains,highland,scenic,nature"
8,Ambewela Farm,Nature,NuwaraEliya,NuwaraEliya,4.3,300,900,6.8333,80.8333,Low,New Zealand of Sri Lanka - cattle farm,"farm,cattle,scenic,nature"
9,Ambewela Farm,Nature,NuwaraEliya,NuwaraEliya,4.5,300,900,6.8333,80.8333,Low,New Zealand of Sri Lanka - cattle farm,"farm,cattle,scenic,nature"
10,Moon Plains,Nature,NuwaraEliya,NuwaraEliya,4.9,200,800,6.8667,80.7833,Low,Scenic highland plains with mountain views,"plains,highland,scenic,nature"
11,Gregory Lake,Nature,NuwaraEliya,NuwaraEliya,3.3,300,1000,6.9497,80.7861,Low,Scenic lake in Nuwara Eliya town,"lake,scenic,boating,nature"
12,Gregory Lake,Nature,NuwaraEliya,NuwaraEliya,3.6,300,1000,6.9497,80.7861,Low,Scenic lake in Nuwara Eliya town,"lake,scenic,boating,nature"
