place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Temple of Sacred Tooth Relic,Religious,Kandy,Kandy,4.4,1500,3000,7.2936,80.6413,Medium,Most sacred Buddhist temple in Sri Lanka,"temple,buddhist,sacred,UNESCO,religious"
2,Kandy Lake,Nature,Kandy,Kandy,4.5,0,400,7.2906,80.6337,Low,Scenic artificial lake in city center,"lake,scenic,walking,nature"
3,Royal Botanic Gardens Peradeniya,Nature,Kandy,Kandy,4.2,500,1500,7.2681,80.595,Low,Most beautiful botanical garden in Asia,"garden,botanical,flowers,nature"
4,Pinnawala Elephant Orphanage,Wildlife,Kandy,Kandy,4.1,2000,4000,7.3003,80.3842,Medium,Largest captive elephant herd,"elephant,orphanage,wildlife,family"
5,Ambuluwawa Tower,Nature,Kandy,Kandy,3.8,200,700,7.17,80.57,Low,Unique spiral tower with 360 views,"tower,viewpoint,360,nature"
6,Lankathilaka Temple,Religious,Kandy,Kandy,5.0,300,900,7.2667,80.55,Low,Beautiful ancient temple near Kandy,"temple,ancient,buddhist,religious"
7,Gadaladeniya Temple,Religious,Kandy,Kandy,4.9,200,700,7.2833,80.5333,Low,14th century rock temple,"temple,ancient,rock,religious"
8,Udawattekele Sanctuary,Wildlife,Kandy,Kandy,4.7,300,900,7.2936,80.6413,Low,Forest sanctuary in city center,"forest,birds,wildlife,nature"
9,Bahirawakanda Buddha Statue,Religious,Kandy,Kandy,3.5,0,400,7.3,80.63,Low,Giant white Buddha overlooking Kandy,"buddha,giant,viewpoint,religious"
10,Knuckles Mountain Range,Adventure,Kandy,Kandy,4.0,1500,5000,7.45,80.7833,Medium,UNESCO biosphere with trekking trails,"trekking,UNESCO,wildlife,adventure"
11,Temple of Sacred Tooth Relic,Religious,Kandy,Kandy,4.9,1500,3000,7.2936,80.6413,Medium,Most sacred Buddhist temple in Sri Lanka,"temple,buddhist,sacred,UNESCO,religious"
12,Lankathilaka Temple,Religious,Kandy,Kandy,4.4,300,900,7.2667,80.55,Low,Beautiful ancient temple near Kandy,"temple,ancient,buddhist,religious"
13,Pinnawala Elephant Orphanage,Wildlife,Kandy,Kandy,4.2,2000,4000,7.3003,80.3842,Medium,Largest captive elephant herd,"elephant,orphanage,wildlife,family"
14,Gadaladeniya Temple,Religious,Kandy,Kandy,4.5,200,700,7.2833,80.5333,Low,14th century rock temple,"temple,ancient,rock,religious"
15,Kandy Lake,Nature,Kandy,Kandy,3.7,0,400,7.2906,80.6337,Low,Scenic artificial lake in city center,"lake,scenic,walking,nature"
16,Udawattekele Sanctuary,Wildlife,Kandy,Kandy,5.0,300,900,7.2936,80.6413,Low,Forest sanctuary in city center,"forest,birds,wildlife,nature"
17,Kandy Lake,Nature,Kandy,Kandy,4.5,0,400,7.2906,80.6337,Low,Scenic artificial lake in city center,"lake,scenic,walking,nature"
18,Ambuluwawa Tower,Nature,Kandy,Kandy,4.2,200,700,7.17,80.57,Low,Unique spiral tower with 360 views,"tower,viewpoint,360,nature"
19,Royal Botanic Gardens Peradeniya,Nature,Kandy,Kandy,4.7,500,1500,7.2681,80.595,Low,Most beautiful botanical garden in Asia,"garden,botanical,flowers,nature"
20,Knuckles Mountain Range,Adventure,Kandy,Kandy,4.6,1500,5000,7.45,80.7833,Medium,UNESCO biosphere with trekking trails,"trekking,UNESCO,wildlife,adventure"
21,Bahirawakanda Buddha Statue,Religious,Kandy,Kandy,3.1,0,400,7.3,80.63,Low,Giant white Buddha overlooking Kandy,"buddha,giant,viewpoint,religious"
22,Udawattekele Sanctuary,Wildlife,Kandy,Kandy,4.6,300,900,7.2936,80.6413,Low,Forest sanctuary in city center,"forest,birds,wildlife,nature"
23,Ambuluwawa Tower,Nature,Kandy,Kandy,4.7,200,700,7.17,80.57,Low,Unique spiral tower with 360 views,"tower,viewpoint,360,nature"
24,Bahirawakanda Buddha Statue,Religious,Kandy,Kandy,5.0,0,400,7.3,80.63,Low,Giant white Buddha overlooking Kandy,"buddha,giant,viewpoint,religious"
25,Udawattekele Sanctuary,Wildlife,Kandy,Kandy,3.3,300,900,7.2936,80.6413,Low,Forest sanctuary in city center,"forest,birds,wildlife,nature"
26,Udawattekele Sanctuary,Wildlife,Kandy,Kandy,4.9,300,900,7.2936,80.6413,Low,Forest sanctuary in city center,"forest,birds,wildlife,nature"
