place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Sigiriya Rock Fortress,Historical,Matale,Matale,4.6,2000,5000,7.957,80.7603,Medium,Ancient rock fortress - UNESCO,"rock,fortress,ancient,UNESCO,historical"
2,Dambulla Cave Temple,Religious,Matale,Matale,4.6,500,1500,7.8568,80.6492,Low,UNESCO cave temple with 150 Buddhas,"cave,temple,UNESCO,religious"
3,Pidurangala Rock,Adventure,Matale,Matale,4.6,300,1000,7.9602,80.7596,Low,Best viewpoint of Sigiriya,"rock,climb,viewpoint,adventure"
4,Nalanda Gedige,Historical,Matale,Matale,4.6,200,700,7.55,80.8333,Low,Ancient Hindu-Buddhist fusion temple,"temple,fusion,ancient,historical"
5,Knuckles Mountain Range,Adventure,Matale,Matale,3.9,1500,5000,7.45,80.7833,Medium,Diverse ecosystem trekking destination,"trekking,wildlife,nature,adventure"
6,Aluvihara Rock Temple,Religious,Matale,Matale,4.6,200,700,7.4833,80.6167,Low,Ancient cave temple where Pali canon was written,"cave,temple,ancient,religious"
7,Rattota Viewpoint,Nature,Matale,Matale,4.9,100,500,7.5,80.75,Low,Scenic mountain viewpoint,"viewpoint,scenic,mountain,nature"
8,Rattota Viewpoint,Nature,Matale,Matale,5.0,100,500,7.5,80.75,Low,Scenic mountain viewpoint,"viewpoint,scenic,mountain,nature"
9,Knuckles Mountain Range,Adventure,Matale,Matale,4.4,1500,5000,7.45,80.7833,Medium,Diverse ecosystem trekking destination,"trekking,wildlife,nature,adventure"
10,Sigiriya Rock Fortress,Historical,Matale,Matale,4.2,2000,5000,7.957,80.7603,Medium,Ancient rock fortress - UNESCO,"rock,fortress,ancient,UNESCO,historical"
11,Dambulla Cave Temple,Religious,Matale,Matale,4.3,500,1500,7.8568,80.6492,Low,UNESCO cave temple with 150 Buddhas,"cave,temple,UNESCO,religious"
12,Rattota Viewpoint,Nature,Matale,Matale,4.0,100,500,7.5,80.75,Low,Scenic mountain viewpoint,"viewpoint,scenic,mountain,nature"
13,Dambulla Cave Temple,Religious,Matale,Matale,3.3,500,1500,7.8568,80.6492,Low,UNESCO cave temple with 150 Buddhas,"cave,temple,UNESCO,religious"
