place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Gangaramaya Temple,Religious,Colombo,Colombo,3.6,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
2,Gangaramaya Temple,Religious,Colombo,Colombo,4.0,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
3,Gangaramaya Temple,Religious,Colombo,Colombo,5.0,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
4,Gangaramaya Temple,Religious,Colombo,Colombo,4.1,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
5,Gangaramaya Temple,Religious,Colombo,Colombo,3.4,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
6,Gangaramaya Temple,Religious,Colombo,Colombo,3.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
7,Gangaramaya Temple,Religious,Colombo,Colombo,4.5,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
8,Gangaramaya Temple,Religious,Colombo,Colombo,3.9,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
9,Gangaramaya Temple,Religious,Colombo,Colombo,3.6,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
10,Gangaramaya Temple,Religious,Colombo,Colombo,4.4,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
11,Gangaramaya Temple,Religious,Colombo,Colombo,3.9,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
12,Gangaramaya Temple,Religious,Colombo,Colombo,3.2,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
13,Gangaramaya Temple,Religious,Colombo,Colombo,3.4,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
14,Gangaramaya Temple,Religious,Colombo,Colombo,3.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
15,Gangaramaya Temple,Religious,Colombo,Colombo,3.9,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
16,Gangaramaya Temple,Religious,Colombo,Colombo,3.9,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
17,Gangaramaya Temple,Religious,Colombo,Colombo,4.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
18,Gangaramaya Temple,Religious,Colombo,Colombo,3.5,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
19,Gangaramaya Temple,Religious,Colombo,Colombo,4.4,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
20,Gangaramaya Temple,Religious,Colombo,Colombo,3.2,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
21,Gangaramaya Temple,Religious,Colombo,Colombo,4.3,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
22,Gangaramaya Temple,Religious,Colombo,Colombo,4.0,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
23,Gangaramaya Temple,Religious,Colombo,Colombo,4.5,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
24,Gangaramaya Temple,Religious,Colombo,Colombo,3.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
25,Gangaramaya Temple,Religious,Colombo,Colombo,3.1,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
26,Gangaramaya Temple,Religious,Colombo,Colombo,4.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
27,Gangaramaya Temple,Religious,Colombo,Colombo,3.3,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
28,Gangaramaya Temple,Religious,Colombo,Colombo,3.4,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
29,Gangaramaya Temple,Religious,Colombo,Colombo,3.8,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
30,Gangaramaya Temple,Religious,Colombo,Colombo,4.5,0,500,6.9154,79.856,Low,Eclectic Buddhist temple,"temple,buddhist,religious"
