place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Adams Peak,Religious,Ratnapura,Ratnapura,4.5,200,1000,6.8096,80.4994,Low,Sacred mountain with sunrise pilgrimage,"mountain,pilgrimage,sunrise,religious"
2,Sinharaja Forest Reserve,Nature,Ratnapura,Ratnapura,4.2,1500,4000,6.4136,80.4969,Medium,UNESCO World Heritage rainforest,"rainforest,UNESCO,birds,nature"
3,Udawalawe National Park,Wildlife,Ratnapura,Ratnapura,4.1,3000,8000,6.439,80.898,Medium,Best elephant watching in Sri Lanka,"elephant,wildlife,safari,nature"
4,Ratnapura Gem Museum,Historical,Ratnapura,Ratnapura,4.0,300,800,6.6833,80.3833,Low,Learn about Sri Lanka's gem industry,"gems,museum,culture,historical"
5,Bopath Falls,Nature,Ratnapura,Ratnapura,4.3,200,700,6.7333,80.3667,Low,Beautiful heart-shaped waterfall,"waterfall,heartshaped,unique,nature"
6,Pahanthudawa Falls,Nature,Ratnapura,Ratnapura,4.3,100,500,6.65,80.45,Low,Scenic waterfall in rainforest,"waterfall,rainforest,nature,scenic"
7,Maha Saman Devalaya,Religious,Ratnapura,Ratnapura,4.6,0,400,6.6833,80.3833,Low,Famous temple dedicated to God Saman,"temple,saman,religious,sacred"
8,Adams Peak,Religious,Ratnapura,Ratnapura,4.9,200,1000,6.8096,80.4994,Low,Sacred mountain with sunrise pilgrimage,"mountain,pilgrimage,sunrise,religious"
9,Ratnapura Gem Museum,Historical,Ratnapura,Ratnapura,3.9,300,800,6.6833,80.3833,Low,Learn about Sri Lanka's gem industry,"gems,museum,culture,historical"
10,Sinharaja Forest Reserve,Nature,Ratnapura,Ratnapura,4.1,1500,4000,6.4136,80.4969,Medium,UNESCO World Heritage rainforest,"rainforest,UNESCO,birds,nature"
11,Sinharaja Forest Reserve,Nature,Ratnapura,Ratnapura,4.1,1500,4000,6.4136,80.4969,Medium,UNESCO World Heritage rainforest,"rainforest,UNESCO,birds,nature"
12,Ratnapura Gem Museum,Historical,Ratnapura,Ratnapura,3.6,300,800,6.6833,80.3833,Low,Learn about Sri Lanka's gem industry,"gems,museum,culture,historical"
13,Pahanthudawa Falls,Nature,Ratnapura,Ratnapura,4.4,100,500,6.65,80.45,Low,Scenic waterfall in rainforest,"waterfall,rainforest,nature,scenic"
14,Ratnapura Gem Museum,Historical,Ratnapura,Ratnapura,4.3,300,800,6.6833,80.3833,Low,Learn about Sri Lanka's gem industry,"gems,museum,culture,historical"
15,Pahanthudawa Falls,Nature,Ratnapura,Ratnapura,4.2,100,500,6.65,80.45,Low,Scenic waterfall in rainforest,"waterfall,rainforest,nature,scenic"
16,Maha Saman Devalaya,Religious,Ratnapura,Ratnapura,3.2,0,400,6.6833,80.3833,Low,Famous temple dedicated to God Saman,"temple,saman,religious,sacred"
17,Adams Peak,Religious,Ratnapura,Ratnapura,4.6,200,1000,6.8096,80.4994,Low,Sacred mountain with sunrise pilgrimage,"mountain,pilgrimage,sunrise,religious"
18,Adams Peak,Religious,Ratnapura,Ratnapura,3.2,200,1000,6.8096,80.4994,Low,Sacred mountain with sunrise pilgrimage,"mountain,pilgrimage,sunrise,religious"
19,Adams Peak,Religious,Ratnapura,Ratnapura,4.2,200,1000,6.8096,80.4994,Low,Sacred mountain with sunrise pilgrimage,"mountain,pilgrimage,sunrise,religious"
20,Ratnapura Gem Museum,Historical,Ratnapura,Ratnapura,3.2,300,800,6.6833,80.3833,Low,Learn about Sri Lanka's gem industry,"gems,museum,culture,historical"
