place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Kalutara Bodhiya,Religious,Kalutara,Kalutara,3.9,0,400,6.5853,79.9603,Low,Famous Buddhist temple with hollow dagoba,"temple,buddhist,dagoba,religious"
2,Bentota Beach,Beach,Kalutara,Kalutara,4.9,1000,4000,6.426,80.001,Medium,Golden beach with water sports,"beach,watersports,resort,relaxation"
3,Brief Garden,Nature,Kalutara,Kalutara,4.4,300,900,6.4333,80.05,Low,Beautiful tropical garden of artist Bevis Bawa,"garden,art,nature,scenic"
4,Lunuganga Garden,Nature,Kalutara,Kalutara,3.6,500,1500,6.3833,80.1167,Medium,Geoffrey Bawa's country estate garden,"garden,bawa,nature,architecture"
5,Kalutara Beach,Beach,Kalutara,Kalutara,3.6,200,1000,6.5853,79.9603,Low,Long beach near Kalutara town,"beach,long,scenic,relaxation"
6,Richmond Castle,Historical,Kalutara,Kalutara,4.2,200,700,6.3833,80.1333,Low,Colonial-era mansion with interesting history,"castle,colonial,historical,mansion"
7,Brief Garden,Nature,Kalutara,Kalutara,3.2,300,900,6.4333,80.05,Low,Beautiful tropical garden of artist Bevis Bawa,"garden,art,nature,scenic"
8,Lunuganga Garden,Nature,Kalutara,Kalutara,4.9,500,1500,6.3833,80.1167,Medium,Geoffrey Bawa's country estate garden,"garden,bawa,nature,architecture"
9,Kalutara Bodhiya,Religious,Kalutara,Kalutara,3.3,0,400,6.5853,79.9603,Low,Famous Buddhist temple with hollow dagoba,"temple,buddhist,dagoba,religious"
10,Richmond Castle,Historical,Kalutara,Kalutara,4.1,200,700,6.3833,80.1333,Low,Colonial-era mansion with interesting history,"castle,colonial,historical,mansion"
11,Brief Garden,Nature,Kalutara,Kalutara,3.9,300,900,6.4333,80.05,Low,Beautiful tropical garden of artist Bevis Bawa,"garden,art,nature,scenic"
