place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Ella Rock,Adventure,Badulla,Badulla,4.3,200,1500,6.8667,81.0466,Low,Scenic hiking with valley views,"hiking,adventure,viewpoint,nature"
2,Nine Arches Bridge,Nature,Badulla,Badulla,4.5,0,500,6.879,81.059,Low,Iconic colonial railway bridge,"bridge,railway,colonial,scenic"
3,Ravana Falls,Nature,Badulla,Badulla,4.2,0,500,6.8456,81.0465,Low,Beautiful 25-meter waterfall,"waterfall,scenic,nature,ravana"
4,Lipton Seat,Nature,Badulla,Badulla,4.1,200,800,6.7667,81.0,Low,Famous tea estate viewpoint,"tea,viewpoint,scenic,nature"
5,Demodara Loop,Nature,Badulla,Badulla,3.6,0,500,6.8756,81.0472,Low,Unique railway loop engineering,"railway,loop,unique,engineering"
6,Haputale,Nature,Badulla,Badulla,4.8,200,800,6.7667,80.9667,Low,Scenic hill town with mountain views,"hills,scenic,tea,nature"
7,Diyaluma Falls,Nature,Badulla,Badulla,4.5,200,800,6.7333,81.0167,Low,Second highest waterfall in Sri Lanka,"waterfall,tallest,scenic,nature"
8,Dunhinda Falls,Nature,Badulla,Badulla,4.3,300,1000,7.05,81.0667,Low,Beautiful waterfall near Badulla town,"waterfall,scenic,nature,beautiful"
9,Bogoda Wooden Bridge,Historical,Badulla,Badulla,4.8,100,400,7.05,81.0833,Low,Oldest wooden bridge in Sri Lanka,"bridge,wooden,ancient,historical"
10,Dunhinda Falls,Nature,Badulla,Badulla,4.3,300,1000,7.05,81.0667,Low,Beautiful waterfall near Badulla town,"waterfall,scenic,nature,beautiful"
11,Haputale,Nature,Badulla,Badulla,4.9,200,800,6.7667,80.9667,Low,Scenic hill town with mountain views,"hills,scenic,tea,nature"
12,Diyaluma Falls,Nature,Badulla,Badulla,4.7,200,800,6.7333,81.0167,Low,Second highest waterfall in Sri Lanka,"waterfall,tallest,scenic,nature"
13,Haputale,Nature,Badulla,Badulla,3.8,200,800,6.7667,80.9667,Low,Scenic hill town with mountain views,"hills,scenic,tea,nature"
14,Ella Rock,Adventure,Badulla,Badulla,3.2,200,1500,6.8667,81.0466,Low,Scenic hiking with valley views,"hiking,adventure,viewpoint,nature"
