place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Negombo Beach,Beach,Gampaha,Gampaha,4.4,300,1500,7.2096,79.8356,Low,Popular beach town with lagoon,"beach,lagoon,fishing,relaxation"
2,Henarathgoda Botanical Garden,Nature,Gampaha,Gampaha,4.0,300,800,7.1667,80.0167,Low,Second oldest botanical garden in Sri Lanka,"garden,botanical,nature,scenic"
3,St Mary's Church Negombo,Religious,Gampaha,Gampaha,4.4,0,300,7.2096,79.8356,Low,Historic Catholic church in Negombo,"church,catholic,colonial,religious"
4,Muthurajawela Wetland,Nature,Gampaha,Gampaha,4.0,500,1500,7.1333,79.9,Medium,Unique wetland with boat safari and birds,"wetland,birds,boat,nature"
5,Negombo Fish Market,Cultural,Gampaha,Gampaha,3.6,0,300,7.2096,79.8356,Low,Bustling early morning fish market,"market,fish,culture,local"
6,Lellama Fish Market,Cultural,Gampaha,Gampaha,5.0,0,200,7.2,79.84,Low,Authentic local fish market experience,"market,fish,local,culture"
7,Muthurajawela Wetland,Nature,Gampaha,Gampaha,3.4,500,1500,7.1333,79.9,Medium,Unique wetland with boat safari and birds,"wetland,birds,boat,nature"
8,Lellama Fish Market,Cultural,Gampaha,Gampaha,4.0,0,200,7.2,79.84,Low,Authentic local fish market experience,"market,fish,local,culture"
9,Negombo Fish Market,Cultural,Gampaha,Gampaha,3.3,0,300,7.2096,79.8356,Low,Bustling early morning fish market,"market,fish,culture,local"
10,St Mary's Church Negombo,Religious,Gampaha,Gampaha,3.6,0,300,7.2096,79.8356,Low,Historic Catholic church in Negombo,"church,catholic,colonial,religious"
11,Lellama Fish Market,Cultural,Gampaha,Gampaha,3.6,0,200,7.2,79.84,Low,Authentic local fish market experience,"market,fish,local,culture"
12,Negombo Beach,Beach,Gampaha,Gampaha,4.0,300,1500,7.2096,79.8356,Low,Popular beach town with lagoon,"beach,lagoon,fishing,relaxation"
13,Negombo Beach,Beach,Gampaha,Gampaha,3.1,300,1500,7.2096,79.8356,Low,Popular beach town with lagoon,"beach,lagoon,fishing,relaxation"
14,Henarathgoda Botanical Garden,Nature,Gampaha,Gampaha,3.4,300,800,7.1667,80.0167,Low,Second oldest botanical garden in Sri Lanka,"garden,botanical,nature,scenic"
15,Negombo Beach,Beach,Gampaha,Gampaha,3.4,300,1500,7.2096,79.8356,Low,Popular beach town with lagoon,"beach,lagoon,fishing,relaxation"
16,Muthurajawela Wetland,Nature,Gampaha,Gampaha,3.4,500,1500,7.1333,79.9,Medium,Unique wetland with boat safari and birds,"wetland,birds,boat,nature"
17,Negombo Beach,Beach,Gampaha,Gampaha,4.1,300,1500,7.2096,79.8356,Low,Popular beach town with lagoon,"beach,lagoon,fishing,relaxation"
18,Muthurajawela Wetland,Nature,Gampaha,Gampaha,4.3,500,1500,7.1333,79.9,Medium,Unique wetland with boat safari and birds,"wetland,birds,boat,nature"
