place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Arugam Bay,Beach,Ampara,Ampara,3.7,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
2,Kumana National Park,Wildlife,Ampara,Ampara,4.1,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
3,Lahugala National Park,Wildlife,Ampara,Ampara,4.5,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
4,Panama Beach,Beach,Ampara,Ampara,4.8,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
5,Deegawapi Temple,Religious,Ampara,Ampara,3.6,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
6,Ampara Tank,Nature,Ampara,Ampara,3.7,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
7,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
8,Deegawapi Temple,Religious,Ampara,Ampara,4.5,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
9,Lahugala National Park,Wildlife,Ampara,Ampara,4.9,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
10,Lahugala National Park,Wildlife,Ampara,Ampara,4.6,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
11,Kumana National Park,Wildlife,Ampara,Ampara,3.6,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
12,Arugam Bay,Beach,Ampara,Ampara,3.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
13,Deegawapi Temple,Religious,Ampara,Ampara,4.2,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
14,Deegawapi Temple,Religious,Ampara,Ampara,3.6,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
15,Ampara Tank,Nature,Ampara,Ampara,3.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
16,Pottuvil Lagoon,Nature,Ampara,Ampara,4.3,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
17,Lahugala National Park,Wildlife,Ampara,Ampara,3.4,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
18,Deegawapi Temple,Religious,Ampara,Ampara,4.0,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
19,Ampara Tank,Nature,Ampara,Ampara,3.8,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
20,Ampara Tank,Nature,Ampara,Ampara,3.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
21,Pottuvil Lagoon,Nature,Ampara,Ampara,4.9,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
22,Panama Beach,Beach,Ampara,Ampara,3.8,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
23,Kumana National Park,Wildlife,Ampara,Ampara,4.0,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
24,Deegawapi Temple,Religious,Ampara,Ampara,3.1,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
25,Arugam Bay,Beach,Ampara,Ampara,5.0,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
26,Lahugala National Park,Wildlife,Ampara,Ampara,3.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
27,Pottuvil Lagoon,Nature,Ampara,Ampara,4.7,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
28,Panama Beach,Beach,Ampara,Ampara,3.7,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
29,Ampara Tank,Nature,Ampara,Ampara,3.3,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
30,Panama Beach,Beach,Ampara,Ampara,4.9,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
31,Pottuvil Lagoon,Nature,Ampara,Ampara,3.1,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
32,Deegawapi Temple,Religious,Ampara,Ampara,3.1,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
33,Lahugala National Park,Wildlife,Ampara,Ampara,3.4,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
34,Arugam Bay,Beach,Ampara,Ampara,4.9,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
35,Panama Beach,Beach,Ampara,Ampara,4.0,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
36,Ampara Tank,Nature,Ampara,Ampara,4.4,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
37,Pottuvil Lagoon,Nature,Ampara,Ampara,3.8,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
38,Ampara Tank,Nature,Ampara,Ampara,3.8,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
39,Ampara Tank,Nature,Ampara,Ampara,4.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
40,Deegawapi Temple,Religious,Ampara,Ampara,3.3,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
41,Arugam Bay,Beach,Ampara,Ampara,3.6,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
42,Deegawapi Temple,Religious,Ampara,Ampara,4.8,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
43,Pottuvil Lagoon,Nature,Ampara,Ampara,3.3,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
44,Lahugala National Park,Wildlife,Ampara,Ampara,3.8,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
45,Ampara Tank,Nature,Ampara,Ampara,4.5,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
46,Ampara Tank,Nature,Ampara,Ampara,4.4,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
47,Arugam Bay,Beach,Ampara,Ampara,3.6,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
48,Panama Beach,Beach,Ampara,Ampara,4.5,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
49,Pottuvil Lagoon,Nature,Ampara,Ampara,3.5,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds"
50,Kumana National Park,Wildlife,Ampara,Ampara,3.2,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
51,Panama Beach,Beach,Ampara,Ampara,3.2,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful"
52,Deegawapi Temple,Religious,Ampara,Ampara,4.2,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious"
53,Lahugala National Park,Wildlife,Ampara,Ampara,4.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature"
54,Ampara Tank,Nature,Ampara,Ampara,4.5,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic"
55,Arugam Bay,Beach,Ampara,Ampara,3.0,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean"
56,Kumana National Park,Wildlife,Ampara,Ampara,4.4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
57,Kumana National Park,Wildlife,Ampara,Ampara,4.0,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds"
