place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Kurunegala Rock,Nature,Kurunegala,Kurunegala,4.9,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
2,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.2,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
3,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,4.2,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
4,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.4,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
5,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,3.5,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
6,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,3.7,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
7,Kurunegala Rock,Nature,Kurunegala,Kurunegala,3.8,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
8,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.4,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
9,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.6,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
10,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.9,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
11,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,4.1,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
12,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,4.7,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
13,Arankele Monastery,Historical,Kurunegala,Kurunegala,3.6,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
14,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.3,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
15,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.2,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
16,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.0,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
17,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.4,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
18,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,3.5,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
19,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,4.4,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
20,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.0,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
21,Arankele Monastery,Historical,Kurunegala,Kurunegala,3.5,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
22,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.7,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
23,Arankele Monastery,Historical,Kurunegala,Kurunegala,3.5,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
24,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.7,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
25,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.3,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
26,Kurunegala Rock,Nature,Kurunegala,Kurunegala,3.2,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
27,Kurunegala Rock,Nature,Kurunegala,Kurunegala,4.4,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
28,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,4.0,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
29,Kurunegala Rock,Nature,Kurunegala,Kurunegala,4.5,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
30,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,4.9,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
31,Ridi Viharaya,Religious,Kurunegala,Kurunegala,3.7,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
32,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,4.0,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
33,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,4.7,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
34,Ridi Viharaya,Religious,Kurunegala,Kurunegala,3.4,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
35,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,3.6,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
36,Arankele Monastery,Historical,Kurunegala,Kurunegala,4.5,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
37,Arankele Monastery,Historical,Kurunegala,Kurunegala,3.1,200,700,7.6167,80.3333,Low,Ancient forest monastery with meditation caves,"monastery,ancient,meditation,historical"
38,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.0,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
39,Dambadeniya Ancient Capital,Historical,Kurunegala,Kurunegala,3.1,300,800,7.55,80.1833,Low,Ancient capital of Sri Lanka,"ancient,capital,historical,ruins"
40,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.8,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
41,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,4.6,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
42,Ridi Viharaya,Religious,Kurunegala,Kurunegala,5.0,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
43,Yapahuwa Rock Fortress,Historical,Kurunegala,Kurunegala,4.0,300,1000,7.8167,80.3333,Low,Ancient rock fortress and palace,"fortress,rock,ancient,historical"
44,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,4.4,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
45,Kurunegala Rock,Nature,Kurunegala,Kurunegala,4.3,200,600,7.4833,80.3667,Low,Iconic rock formations overlooking city,"rock,viewpoint,scenic,nature"
46,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.2,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
47,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.7,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
48,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.4,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
49,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.5,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
50,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.9,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
51,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.7,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
52,Ridi Viharaya,Religious,Kurunegala,Kurunegala,3.8,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
53,Ridi Viharaya,Religious,Kurunegala,Kurunegala,4.4,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
54,Panavitiya Ambalama,Historical,Kurunegala,Kurunegala,3.7,0,300,7.4833,80.3667,Low,Ancient rest house with colonial history,"colonial,historical,ancient,culture"
55,Ridi Viharaya,Religious,Kurunegala,Kurunegala,3.6,300,800,7.6167,80.3333,Low,Silver temple with unique architecture,"temple,silver,buddhist,religious"
