place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Yala National Park,Wildlife,Hambantota,Hambantota,4.9,5000,15000,6.3728,81.5216,High,Sri Lanka's most famous wildlife reserve,"leopard,elephant,wildlife,safari"
2,Bundala National Park,Wildlife,Hambantota,Hambantota,4.6,2500,6000,6.1983,81.2172,Medium,Ramsar wetland with flamingos,"flamingo,birds,wetland,wildlife"
3,Hambantota Port,Nature,Hambantota,Hambantota,3.9,0,400,6.1236,81.1264,Low,Modern deep sea port - engineering marvel,"port,modern,engineering,scenic"
4,Ussangoda National Park,Nature,Hambantota,Hambantota,4.8,200,800,6.1167,81.05,Low,Unique red earth plateau near ocean,"plateau,unique,nature,scenic"
5,Mulkirigala Cave Temple,Religious,Hambantota,Hambantota,3.7,200,800,6.075,80.6175,Low,Ancient cave temple with panoramic views,"cave,temple,ancient,religious"
6,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,4.2,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
7,Kataragama Temple,Religious,Hambantota,Hambantota,4.0,0,500,6.414,81.331,Low,Most sacred multi-religious site in Sri Lanka,"temple,sacred,religious,pilgrimage"
8,Rekawa Beach,Wildlife,Hambantota,Hambantota,4.7,500,1500,6.05,80.85,Medium,Sea turtle nesting beach,"turtle,nesting,beach,wildlife"
9,Kataragama Temple,Religious,Hambantota,Hambantota,4.6,0,500,6.414,81.331,Low,Most sacred multi-religious site in Sri Lanka,"temple,sacred,religious,pilgrimage"
10,Mulkirigala Cave Temple,Religious,Hambantota,Hambantota,4.7,200,800,6.075,80.6175,Low,Ancient cave temple with panoramic views,"cave,temple,ancient,religious"
11,Rekawa Beach,Wildlife,Hambantota,Hambantota,3.9,500,1500,6.05,80.85,Medium,Sea turtle nesting beach,"turtle,nesting,beach,wildlife"
12,Kataragama Temple,Religious,Hambantota,Hambantota,4.9,0,500,6.414,81.331,Low,Most sacred multi-religious site in Sri Lanka,"temple,sacred,religious,pilgrimage"
13,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,4.4,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
14,Bundala National Park,Wildlife,Hambantota,Hambantota,4.6,2500,6000,6.1983,81.2172,Medium,Ramsar wetland with flamingos,"flamingo,birds,wetland,wildlife"
15,Mulkirigala Cave Temple,Religious,Hambantota,Hambantota,4.0,200,800,6.075,80.6175,Low,Ancient cave temple with panoramic views,"cave,temple,ancient,religious"
16,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,3.8,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
17,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,3.9,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
18,Yala National Park,Wildlife,Hambantota,Hambantota,4.5,5000,15000,6.3728,81.5216,High,Sri Lanka's most famous wildlife reserve,"leopard,elephant,wildlife,safari"
19,Hambantota Port,Nature,Hambantota,Hambantota,4.3,0,400,6.1236,81.1264,Low,Modern deep sea port - engineering marvel,"port,modern,engineering,scenic"
20,Hambantota Port,Nature,Hambantota,Hambantota,3.0,0,400,6.1236,81.1264,Low,Modern deep sea port - engineering marvel,"port,modern,engineering,scenic"
21,Ussangoda National Park,Nature,Hambantota,Hambantota,4.3,200,800,6.1167,81.05,Low,Unique red earth plateau near ocean,"plateau,unique,nature,scenic"
22,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,4.2,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
23,Bundala National Park,Wildlife,Hambantota,Hambantota,3.3,2500,6000,6.1983,81.2172,Medium,Ramsar wetland with flamingos,"flamingo,birds,wetland,wildlife"
24,Hambantota Port,Nature,Hambantota,Hambantota,4.7,0,400,6.1236,81.1264,Low,Modern deep sea port - engineering marvel,"port,modern,engineering,scenic"
25,Kataragama Temple,Religious,Hambantota,Hambantota,4.6,0,500,6.414,81.331,Low,Most sacred multi-religious site in Sri Lanka,"temple,sacred,religious,pilgrimage"
26,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,3.9,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
27,Hambantota Port,Nature,Hambantota,Hambantota,3.5,0,400,6.1236,81.1264,Low,Modern deep sea port - engineering marvel,"port,modern,engineering,scenic"
28,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,4.6,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
29,Ussangoda National Park,Nature,Hambantota,Hambantota,3.2,200,800,6.1167,81.05,Low,Unique red earth plateau near ocean,"plateau,unique,nature,scenic"
30,Ridiyagama Safari Park,Wildlife,Hambantota,Hambantota,3.4,2000,5000,6.15,81.0333,Medium,Drive-through safari with diverse animals,"safari,animals,wildlife,family"
31,Kataragama Temple,Religious,Hambantota,Hambantota,4.9,0,500,6.414,81.331,Low,Most sacred multi-religious site in Sri Lanka,"temple,sacred,religious,pilgrimage"
32,Ussangoda National Park,Nature,Hambantota,Hambantota,3.0,200,800,6.1167,81.05,Low,Unique red earth plateau near ocean,"plateau,unique,nature,scenic"
