place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Mirissa Beach,Beach,Matara,Matara,4.8,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
2,Matara Fort,Historical,Matara,Matara,4.7,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
3,Dondra Lighthouse,Nature,Matara,Matara,4.4,200,600,5.9233,80.5917,Low,Southernmost point lighthouse of Sri Lanka,"lighthouse,southernmost,scenic,nature"
4,Polhena Beach,Beach,Matara,Matara,4.3,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
5,Weligama Beach,Beach,Matara,Matara,3.6,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
6,Weherahena Temple,Religious,Matara,Matara,4.7,0,500,5.9486,80.5353,Low,Temple with underground museum and giant Buddha,"temple,buddhist,giant,religious"
7,Mulgirigala Rock Temple,Religious,Matara,Matara,4.6,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
8,Weligama Beach,Beach,Matara,Matara,3.4,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
9,Matara Fort,Historical,Matara,Matara,4.9,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
10,Matara Fort,Historical,Matara,Matara,4.8,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
11,Weligama Beach,Beach,Matara,Matara,3.0,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
12,Weherahena Temple,Religious,Matara,Matara,3.2,0,500,5.9486,80.5353,Low,Temple with underground museum and giant Buddha,"temple,buddhist,giant,religious"
13,Matara Fort,Historical,Matara,Matara,4.8,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
14,Mulgirigala Rock Temple,Religious,Matara,Matara,4.4,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
15,Dondra Lighthouse,Nature,Matara,Matara,4.4,200,600,5.9233,80.5917,Low,Southernmost point lighthouse of Sri Lanka,"lighthouse,southernmost,scenic,nature"
16,Matara Fort,Historical,Matara,Matara,3.9,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
17,Mirissa Beach,Beach,Matara,Matara,3.4,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
18,Dondra Lighthouse,Nature,Matara,Matara,5.0,200,600,5.9233,80.5917,Low,Southernmost point lighthouse of Sri Lanka,"lighthouse,southernmost,scenic,nature"
19,Polhena Beach,Beach,Matara,Matara,3.4,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
20,Matara Fort,Historical,Matara,Matara,3.8,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
21,Mulgirigala Rock Temple,Religious,Matara,Matara,5.0,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
22,Mirissa Beach,Beach,Matara,Matara,3.9,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
23,Weligama Beach,Beach,Matara,Matara,3.3,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
24,Mulgirigala Rock Temple,Religious,Matara,Matara,3.7,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
25,Dondra Lighthouse,Nature,Matara,Matara,4.1,200,600,5.9233,80.5917,Low,Southernmost point lighthouse of Sri Lanka,"lighthouse,southernmost,scenic,nature"
26,Mirissa Beach,Beach,Matara,Matara,3.2,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
27,Polhena Beach,Beach,Matara,Matara,3.2,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
28,Dondra Lighthouse,Nature,Matara,Matara,3.9,200,600,5.9233,80.5917,Low,Southernmost point lighthouse of Sri Lanka,"lighthouse,southernmost,scenic,nature"
29,Weherahena Temple,Religious,Matara,Matara,3.6,0,500,5.9486,80.5353,Low,Temple with underground museum and giant Buddha,"temple,buddhist,giant,religious"
30,Mulgirigala Rock Temple,Religious,Matara,Matara,3.9,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
31,Weligama Beach,Beach,Matara,Matara,3.8,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
32,Mulgirigala Rock Temple,Religious,Matara,Matara,3.9,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
33,Mulgirigala Rock Temple,Religious,Matara,Matara,3.1,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
34,Mulgirigala Rock Temple,Religious,Matara,Matara,4.6,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
35,Weherahena Temple,Religious,Matara,Matara,3.7,0,500,5.9486,80.5353,Low,Temple with underground museum and giant Buddha,"temple,buddhist,giant,religious"
36,Mirissa Beach,Beach,Matara,Matara,5.0,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
37,Polhena Beach,Beach,Matara,Matara,4.3,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
38,Polhena Beach,Beach,Matara,Matara,3.9,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
39,Weherahena Temple,Religious,Matara,Matara,4.4,0,500,5.9486,80.5353,Low,Temple with underground museum and giant Buddha,"temple,buddhist,giant,religious"
40,Mirissa Beach,Beach,Matara,Matara,3.3,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
41,Polhena Beach,Beach,Matara,Matara,4.4,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
42,Mirissa Beach,Beach,Matara,Matara,4.5,500,2000,5.9483,80.456,Low,Famous whale watching and surfing beach,"beach,whale,surf,scenic"
43,Matara Fort,Historical,Matara,Matara,3.1,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
44,Matara Fort,Historical,Matara,Matara,3.7,0,400,5.9486,80.5353,Low,Dutch star fort in Matara town,"fort,dutch,colonial,historical"
45,Weligama Beach,Beach,Matara,Matara,4.7,300,1200,5.9731,80.4297,Low,Famous for stilt fishermen and surfing,"beach,stiltfishing,surf,scenic"
46,Polhena Beach,Beach,Matara,Matara,3.2,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
47,Mulgirigala Rock Temple,Religious,Matara,Matara,3.8,200,800,6.075,80.6175,Low,Ancient cave temple on rock summit,"cave,temple,ancient,religious"
48,Polhena Beach,Beach,Matara,Matara,3.6,200,800,5.95,80.5333,Low,Sea turtle snorkeling beach,"beach,turtle,snorkel,nature"
