place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
2,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,4.7,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
3,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.8,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
4,Parakrama Samudra,Nature,Polonnaruwa,Polonnaruwa,4.8,0,500,7.9403,81.0019,Low,Ancient sea of Parakrama - massive irrigation tank,"tank,ancient,scenic,historical"
5,Kaudulla National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.9,3000,8000,8.1667,80.9167,Medium,Another elephant gathering park near Minneriya,"elephant,wildlife,safari,nature"
6,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,4.1,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
7,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
8,Medirigiriya Vatadage,Historical,Polonnaruwa,Polonnaruwa,4.1,300,1000,8.1167,80.9667,Low,Ancient circular relic house in remote location,"ruins,ancient,historical,remote"
9,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.7,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
10,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.3,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
11,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.5,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
12,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.6,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
13,Medirigiriya Vatadage,Historical,Polonnaruwa,Polonnaruwa,4.3,300,1000,8.1167,80.9667,Low,Ancient circular relic house in remote location,"ruins,ancient,historical,remote"
14,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.4,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
15,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.4,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
16,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,3.8,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
17,Kaudulla National Park,Wildlife,Polonnaruwa,Polonnaruwa,3.3,3000,8000,8.1667,80.9167,Medium,Another elephant gathering park near Minneriya,"elephant,wildlife,safari,nature"
18,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
19,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.7,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
20,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,3.4,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
21,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,4.8,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
22,Parakrama Samudra,Nature,Polonnaruwa,Polonnaruwa,4.3,0,500,7.9403,81.0019,Low,Ancient sea of Parakrama - massive irrigation tank,"tank,ancient,scenic,historical"
23,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
24,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,3.7,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
25,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.5,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
26,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.3,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
27,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,4.6,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
28,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.9,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
29,Kaudulla National Park,Wildlife,Polonnaruwa,Polonnaruwa,3.4,3000,8000,8.1667,80.9167,Medium,Another elephant gathering park near Minneriya,"elephant,wildlife,safari,nature"
30,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.7,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
31,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,4.4,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
32,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,3.8,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
33,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
34,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.0,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
35,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,3.7,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
36,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,3.2,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
37,Medirigiriya Vatadage,Historical,Polonnaruwa,Polonnaruwa,4.6,300,1000,8.1167,80.9667,Low,Ancient circular relic house in remote location,"ruins,ancient,historical,remote"
38,Parakrama Samudra,Nature,Polonnaruwa,Polonnaruwa,3.3,0,500,7.9403,81.0019,Low,Ancient sea of Parakrama - massive irrigation tank,"tank,ancient,scenic,historical"
39,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,4.6,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
40,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,3.6,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
41,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.5,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
42,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.1,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
43,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.8,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
44,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.5,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
45,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.7,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
46,Medirigiriya Vatadage,Historical,Polonnaruwa,Polonnaruwa,4.4,300,1000,8.1167,80.9667,Low,Ancient circular relic house in remote location,"ruins,ancient,historical,remote"
47,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,4.9,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
48,Minneriya National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.2,3000,8000,8.0328,80.8994,Medium,Famous elephant gathering - hundreds at once,"elephant,gathering,wildlife,safari"
49,Lankathilaka Temple,Religious,Polonnaruwa,Polonnaruwa,3.3,500,2000,7.9472,81.0014,Low,Impressive ruined image house of ancient Polonnaruwa,"temple,ruins,ancient,religious"
50,Gal Vihara,Religious,Polonnaruwa,Polonnaruwa,3.7,500,2000,7.9556,81.0019,Low,Magnificent rock-carved Buddha statues,"buddha,rock,carved,religious,UNESCO"
51,Parakrama Samudra,Nature,Polonnaruwa,Polonnaruwa,3.8,0,500,7.9403,81.0019,Low,Ancient sea of Parakrama - massive irrigation tank,"tank,ancient,scenic,historical"
52,Kaudulla National Park,Wildlife,Polonnaruwa,Polonnaruwa,4.3,3000,8000,8.1667,80.9167,Medium,Another elephant gathering park near Minneriya,"elephant,wildlife,safari,nature"
53,Kaudulla National Park,Wildlife,Polonnaruwa,Polonnaruwa,3.5,3000,8000,8.1667,80.9167,Medium,Another elephant gathering park near Minneriya,"elephant,wildlife,safari,nature"
54,Polonnaruwa Ancient City,Historical,Polonnaruwa,Polonnaruwa,3.8,500,2000,7.9403,81.0188,Low,Medieval capital with well-preserved ruins - UNESCO,"ruins,UNESCO,ancient,historical"
55,Medirigiriya Vatadage,Historical,Polonnaruwa,Polonnaruwa,3.3,300,1000,8.1167,80.9667,Low,Ancient circular relic house in remote location,"ruins,ancient,historical,remote"
56,Polonnaruwa Museum,Historical,Polonnaruwa,Polonnaruwa,3.0,300,800,7.9403,81.0188,Low,Excellent museum with ancient artifacts,"museum,artifacts,historical,culture"
