place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Mannar Fort,Historical,Mannar,Mannar,4.4,0,500,8.98,79.9044,Low,16th century Portuguese fort on Mannar Island,"fort,portuguese,historical,colonial"
2,Baobab Tree,Nature,Mannar,Mannar,3.5,0,300,8.9833,79.9167,Low,Oldest and largest baobab tree in Asia - 700 years old,"baobab,tree,ancient,unique,nature"
3,Adam's Bridge,Nature,Mannar,Mannar,3.8,500,1500,9.1,79.85,Low,Chain of limestone shoals connecting Sri Lanka to India,"bridge,geological,scenic,unique"
4,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,4.5,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
5,Thiruketheeswaram Temple,Religious,Mannar,Mannar,4.8,0,500,8.9833,79.8833,Low,Ancient Hindu temple near Mannar town,"temple,hindu,ancient,religious"
6,Vankalai Sanctuary,Wildlife,Mannar,Mannar,4.4,500,1500,9.0833,79.8333,Medium,Ramsar wetland with diverse bird species,"wetland,birds,wildlife,ramsar"
7,Mannar Fort,Historical,Mannar,Mannar,5.0,0,500,8.98,79.9044,Low,16th century Portuguese fort on Mannar Island,"fort,portuguese,historical,colonial"
8,Vankalai Sanctuary,Wildlife,Mannar,Mannar,4.6,500,1500,9.0833,79.8333,Medium,Ramsar wetland with diverse bird species,"wetland,birds,wildlife,ramsar"
9,Thiruketheeswaram Temple,Religious,Mannar,Mannar,3.1,0,500,8.9833,79.8833,Low,Ancient Hindu temple near Mannar town,"temple,hindu,ancient,religious"
10,Baobab Tree,Nature,Mannar,Mannar,3.9,0,300,8.9833,79.9167,Low,Oldest and largest baobab tree in Asia - 700 years old,"baobab,tree,ancient,unique,nature"
11,Vankalai Sanctuary,Wildlife,Mannar,Mannar,3.9,500,1500,9.0833,79.8333,Medium,Ramsar wetland with diverse bird species,"wetland,birds,wildlife,ramsar"
12,Adam's Bridge,Nature,Mannar,Mannar,3.4,500,1500,9.1,79.85,Low,Chain of limestone shoals connecting Sri Lanka to India,"bridge,geological,scenic,unique"
13,Thiruketheeswaram Temple,Religious,Mannar,Mannar,3.9,0,500,8.9833,79.8833,Low,Ancient Hindu temple near Mannar town,"temple,hindu,ancient,religious"
14,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,4.9,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
15,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,3.7,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
16,Adam's Bridge,Nature,Mannar,Mannar,3.6,500,1500,9.1,79.85,Low,Chain of limestone shoals connecting Sri Lanka to India,"bridge,geological,scenic,unique"
17,Mannar Fort,Historical,Mannar,Mannar,4.7,0,500,8.98,79.9044,Low,16th century Portuguese fort on Mannar Island,"fort,portuguese,historical,colonial"
18,Adam's Bridge,Nature,Mannar,Mannar,3.8,500,1500,9.1,79.85,Low,Chain of limestone shoals connecting Sri Lanka to India,"bridge,geological,scenic,unique"
19,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,3.6,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
20,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,4.6,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
21,Thiruketheeswaram Temple,Religious,Mannar,Mannar,3.1,0,500,8.9833,79.8833,Low,Ancient Hindu temple near Mannar town,"temple,hindu,ancient,religious"
22,Mannar Fort,Historical,Mannar,Mannar,3.6,0,500,8.98,79.9044,Low,16th century Portuguese fort on Mannar Island,"fort,portuguese,historical,colonial"
23,Adam's Bridge,Nature,Mannar,Mannar,3.2,500,1500,9.1,79.85,Low,Chain of limestone shoals connecting Sri Lanka to India,"bridge,geological,scenic,unique"
24,Mannar Bird Sanctuary,Wildlife,Mannar,Mannar,4.7,500,1500,8.9667,79.9,Medium,Important migratory bird sanctuary with flamingos,"birds,flamingo,migratory,wildlife"
25,Mannar Fort,Historical,Mannar,Mannar,4.3,0,500,8.98,79.9044,Low,16th century Portuguese fort on Mannar Island,"fort,portuguese,historical,colonial"
