place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.7,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
2,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.6,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
3,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,4.5,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
4,Rambukkana,Nature,Kegalle,Kegalle,4.4,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
5,Dawsons Hill,Nature,Kegalle,Kegalle,3.7,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
6,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.2,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
7,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.2,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
8,Rambukkana,Nature,Kegalle,Kegalle,3.3,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
9,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.0,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
10,Rambukkana,Nature,Kegalle,Kegalle,3.8,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
11,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,4.3,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
12,Kitulgala Rafting,Adventure,Kegalle,Kegalle,4.8,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
13,Rambukkana,Nature,Kegalle,Kegalle,4.4,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
14,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.0,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
15,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.4,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
16,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.7,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
17,Dawsons Hill,Nature,Kegalle,Kegalle,3.7,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
18,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,4.8,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
19,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.8,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
20,Dawsons Hill,Nature,Kegalle,Kegalle,3.3,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
21,Rambukkana,Nature,Kegalle,Kegalle,4.1,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
22,Dawsons Hill,Nature,Kegalle,Kegalle,3.4,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
23,Rambukkana,Nature,Kegalle,Kegalle,3.3,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
24,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,4.2,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
25,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.7,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
26,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.5,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
27,Rambukkana,Nature,Kegalle,Kegalle,4.3,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
28,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,4.6,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
29,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.6,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
30,Kitulgala Rafting,Adventure,Kegalle,Kegalle,4.6,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
31,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.6,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
32,Rambukkana,Nature,Kegalle,Kegalle,3.9,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
33,Rambukkana,Nature,Kegalle,Kegalle,4.6,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
34,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.2,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
35,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.3,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
36,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,5.0,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
37,Kitulgala Rafting,Adventure,Kegalle,Kegalle,4.5,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
38,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.6,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
39,Rambukkana,Nature,Kegalle,Kegalle,4.0,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
40,Rambukkana,Nature,Kegalle,Kegalle,4.2,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
41,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.3,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
42,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.8,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
43,Dawsons Hill,Nature,Kegalle,Kegalle,4.0,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
44,Dawsons Hill,Nature,Kegalle,Kegalle,4.0,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
45,Dawsons Hill,Nature,Kegalle,Kegalle,4.6,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
46,Rambukkana,Nature,Kegalle,Kegalle,3.2,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
47,Rambukkana,Nature,Kegalle,Kegalle,4.1,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
48,Kitulgala Rafting,Adventure,Kegalle,Kegalle,4.4,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
49,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.7,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
50,Kitulgala Rafting,Adventure,Kegalle,Kegalle,5.0,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
51,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.7,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
52,Rambukkana,Nature,Kegalle,Kegalle,4.9,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
53,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.1,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
54,Biblehana Ella Waterfall,Nature,Kegalle,Kegalle,3.7,100,500,7.2667,80.4167,Low,Beautiful waterfall in Kegalle district,"waterfall,nature,scenic,peaceful"
55,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.6,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
56,Kitulgala Rafting,Adventure,Kegalle,Kegalle,4.7,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
57,Dawsons Hill,Nature,Kegalle,Kegalle,4.9,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
58,Rambukkana,Nature,Kegalle,Kegalle,3.5,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
59,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.1,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
60,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.2,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
61,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.8,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
62,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.4,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
63,Rambukkana,Nature,Kegalle,Kegalle,3.7,100,400,7.3333,80.3833,Low,Scenic railway town with nature views,"railway,scenic,nature,town"
64,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.3,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
65,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,4.0,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
66,Dawsons Hill,Nature,Kegalle,Kegalle,4.7,100,500,7.1667,80.4167,Low,Scenic hill with forest trails,"hill,forest,nature,scenic"
67,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.3,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
68,Kitulgala Rafting,Adventure,Kegalle,Kegalle,3.2,2000,6000,6.9894,80.4179,Medium,White water rafting on Kelani River,"rafting,adventure,river,jungle"
69,Pinnawala Elephant Orphanage,Wildlife,Kegalle,Kegalle,3.0,2000,4000,7.3003,80.3842,Medium,Home to largest captive elephant herd,"elephant,orphanage,wildlife,family"
