place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Batticaloa Fort,Historical,Batticaloa,Batticaloa,3.8,0,400,7.7167,81.6833,Low,Dutch fort on a lagoon island,"fort,dutch,colonial,historical"
2,Kallady Bridge,Nature,Batticaloa,Batticaloa,3.7,0,300,7.7,81.7,Low,Scenic bridge over Batticaloa lagoon,"bridge,lagoon,scenic,nature"
3,Pasikuda Beach,Beach,Batticaloa,Batticaloa,4.0,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
4,Kalkudah Beach,Beach,Batticaloa,Batticaloa,4.9,300,1500,7.95,81.5333,Low,Pristine beach with turquoise water,"beach,pristine,turquoise,scenic"
5,Batticaloa Lagoon,Nature,Batticaloa,Batticaloa,4.0,200,800,7.7167,81.7,Low,Singing fish lagoon - unique natural phenomenon,"lagoon,singfish,unique,nature"
6,Eravur Beach,Beach,Batticaloa,Batticaloa,4.4,200,800,7.7833,81.6667,Low,Quiet beach near Batticaloa town,"beach,quiet,peaceful,nature"
7,St Michael's College,Historical,Batticaloa,Batticaloa,4.7,0,200,7.7167,81.6833,Low,Historic colonial-era educational institution,"colonial,historical,education,culture"
8,Pasikuda Beach,Beach,Batticaloa,Batticaloa,3.9,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
9,Kalkudah Beach,Beach,Batticaloa,Batticaloa,4.6,300,1500,7.95,81.5333,Low,Pristine beach with turquoise water,"beach,pristine,turquoise,scenic"
10,St Michael's College,Historical,Batticaloa,Batticaloa,4.3,0,200,7.7167,81.6833,Low,Historic colonial-era educational institution,"colonial,historical,education,culture"
11,Batticaloa Lagoon,Nature,Batticaloa,Batticaloa,3.3,200,800,7.7167,81.7,Low,Singing fish lagoon - unique natural phenomenon,"lagoon,singfish,unique,nature"
12,Pasikuda Beach,Beach,Batticaloa,Batticaloa,4.2,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
13,Eravur Beach,Beach,Batticaloa,Batticaloa,3.4,200,800,7.7833,81.6667,Low,Quiet beach near Batticaloa town,"beach,quiet,peaceful,nature"
14,Pasikuda Beach,Beach,Batticaloa,Batticaloa,3.4,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
15,Kalkudah Beach,Beach,Batticaloa,Batticaloa,4.9,300,1500,7.95,81.5333,Low,Pristine beach with turquoise water,"beach,pristine,turquoise,scenic"
16,Pasikuda Beach,Beach,Batticaloa,Batticaloa,4.5,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
17,Eravur Beach,Beach,Batticaloa,Batticaloa,4.0,200,800,7.7833,81.6667,Low,Quiet beach near Batticaloa town,"beach,quiet,peaceful,nature"
18,Batticaloa Lagoon,Nature,Batticaloa,Batticaloa,4.6,200,800,7.7167,81.7,Low,Singing fish lagoon - unique natural phenomenon,"lagoon,singfish,unique,nature"
19,Pasikuda Beach,Beach,Batticaloa,Batticaloa,3.8,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
20,St Michael's College,Historical,Batticaloa,Batticaloa,4.6,0,200,7.7167,81.6833,Low,Historic colonial-era educational institution,"colonial,historical,education,culture"
21,Pasikuda Beach,Beach,Batticaloa,Batticaloa,3.2,500,2000,7.9258,81.5528,Low,Shallow crystal clear beach - perfect for families,"beach,shallow,clear,family"
22,Batticaloa Lagoon,Nature,Batticaloa,Batticaloa,3.4,200,800,7.7167,81.7,Low,Singing fish lagoon - unique natural phenomenon,"lagoon,singfish,unique,nature"
23,Batticaloa Lagoon,Nature,Batticaloa,Batticaloa,3.4,200,800,7.7167,81.7,Low,Singing fish lagoon - unique natural phenomenon,"lagoon,singfish,unique,nature"
24,St Michael's College,Historical,Batticaloa,Batticaloa,4.1,0,200,7.7167,81.6833,Low,Historic colonial-era educational institution,"colonial,historical,education,culture"
25,Eravur Beach,Beach,Batticaloa,Batticaloa,3.9,200,800,7.7833,81.6667,Low,Quiet beach near Batticaloa town,"beach,quiet,peaceful,nature"
26,Eravur Beach,Beach,Batticaloa,Batticaloa,3.4,200,800,7.7833,81.6667,Low,Quiet beach near Batticaloa town,"beach,quiet,peaceful,nature"
