place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Wilpattu National Park,Wildlife,Puttalam,Puttalam,4.7,4000,12000,8.455,80.0438,High,Sri Lanka's largest national park with leopards,"leopard,wildlife,safari,nature"
2,Kalpitiya Beach,Beach,Puttalam,Puttalam,4.0,1000,3000,8.2333,79.7667,Medium,Dolphin watching and kitesurfing paradise,"dolphin,kitesurf,beach,adventure"
3,Kalpitiya Lagoon,Nature,Puttalam,Puttalam,3.6,1000,3000,8.2333,79.75,Medium,Beautiful lagoon with dolphins and mangroves,"lagoon,dolphin,mangrove,nature"
4,Mundel Lake,Nature,Puttalam,Puttalam,4.6,200,800,7.9667,79.8833,Low,Scenic lake with bird watching,"lake,birds,scenic,nature"
5,Dutch Fort Kalpitiya,Historical,Puttalam,Puttalam,4.2,0,400,8.2333,79.7667,Low,Ancient Dutch fort on Kalpitiya peninsula,"fort,dutch,colonial,historical"
6,Palavi Beach,Beach,Puttalam,Puttalam,4.1,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
7,Palavi Beach,Beach,Puttalam,Puttalam,3.1,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
8,Kalpitiya Beach,Beach,Puttalam,Puttalam,4.1,1000,3000,8.2333,79.7667,Medium,Dolphin watching and kitesurfing paradise,"dolphin,kitesurf,beach,adventure"
9,Kalpitiya Beach,Beach,Puttalam,Puttalam,4.5,1000,3000,8.2333,79.7667,Medium,Dolphin watching and kitesurfing paradise,"dolphin,kitesurf,beach,adventure"
10,Dutch Fort Kalpitiya,Historical,Puttalam,Puttalam,3.6,0,400,8.2333,79.7667,Low,Ancient Dutch fort on Kalpitiya peninsula,"fort,dutch,colonial,historical"
11,Palavi Beach,Beach,Puttalam,Puttalam,3.3,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
12,Palavi Beach,Beach,Puttalam,Puttalam,4.8,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
13,Palavi Beach,Beach,Puttalam,Puttalam,4.3,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
14,Wilpattu National Park,Wildlife,Puttalam,Puttalam,4.1,4000,12000,8.455,80.0438,High,Sri Lanka's largest national park with leopards,"leopard,wildlife,safari,nature"
15,Dutch Fort Kalpitiya,Historical,Puttalam,Puttalam,3.3,0,400,8.2333,79.7667,Low,Ancient Dutch fort on Kalpitiya peninsula,"fort,dutch,colonial,historical"
16,Wilpattu National Park,Wildlife,Puttalam,Puttalam,3.0,4000,12000,8.455,80.0438,High,Sri Lanka's largest national park with leopards,"leopard,wildlife,safari,nature"
17,Dutch Fort Kalpitiya,Historical,Puttalam,Puttalam,3.8,0,400,8.2333,79.7667,Low,Ancient Dutch fort on Kalpitiya peninsula,"fort,dutch,colonial,historical"
18,Dutch Fort Kalpitiya,Historical,Puttalam,Puttalam,4.9,0,400,8.2333,79.7667,Low,Ancient Dutch fort on Kalpitiya peninsula,"fort,dutch,colonial,historical"
19,Kalpitiya Lagoon,Nature,Puttalam,Puttalam,3.4,1000,3000,8.2333,79.75,Medium,Beautiful lagoon with dolphins and mangroves,"lagoon,dolphin,mangrove,nature"
20,Palavi Beach,Beach,Puttalam,Puttalam,4.8,200,800,8.0,79.8333,Low,Quiet beach near Puttalam,"beach,quiet,peaceful,scenic"
21,Kalpitiya Lagoon,Nature,Puttalam,Puttalam,3.4,1000,3000,8.2333,79.75,Medium,Beautiful lagoon with dolphins and mangroves,"lagoon,dolphin,mangrove,nature"
