place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Vavuniya Archaeological Museum,Historical,Vavuniya,Vavuniya,4.7,200,600,8.7515,80.4969,Low,Museum with ancient artifacts from northern Sri Lanka,"museum,artifacts,historical,culture"
2,Padaviya Tank,Nature,Vavuniya,Vavuniya,4.6,0,500,8.8667,80.6667,Low,Ancient irrigation tank with wildlife,"tank,wildlife,ancient,nature"
3,Vavuniya Market,Cultural,Vavuniya,Vavuniya,3.8,100,400,8.7515,80.4969,Low,Busy local market with diverse goods,"market,culture,local,town"
4,Madhu Church,Religious,Vavuniya,Vavuniya,4.2,0,500,8.9667,80.2667,Low,Famous Catholic shrine - pilgrimage site for all religions,"church,catholic,pilgrimage,religious"
5,Nochchiagama Ancient Site,Historical,Vavuniya,Vavuniya,3.8,200,700,8.65,80.5167,Low,Ancient ruins near Vavuniya,"ruins,ancient,historical,archaeological"
6,Vavuniya Market,Cultural,Vavuniya,Vavuniya,4.7,100,400,8.7515,80.4969,Low,Busy local market with diverse goods,"market,culture,local,town"
7,Madhu Church,Religious,Vavuniya,Vavuniya,3.8,0,500,8.9667,80.2667,Low,Famous Catholic shrine - pilgrimage site for all religions,"church,catholic,pilgrimage,religious"
8,Vavuniya Archaeological Museum,Historical,Vavuniya,Vavuniya,3.6,200,600,8.7515,80.4969,Low,Museum with ancient artifacts from northern Sri Lanka,"museum,artifacts,historical,culture"
9,Vavuniya Market,Cultural,Vavuniya,Vavuniya,4.3,100,400,8.7515,80.4969,Low,Busy local market with diverse goods,"market,culture,local,town"
10,Vavuniya Market,Cultural,Vavuniya,Vavuniya,4.9,100,400,8.7515,80.4969,Low,Busy local market with diverse goods,"market,culture,local,town"
11,Madhu Church,Religious,Vavuniya,Vavuniya,3.1,0,500,8.9667,80.2667,Low,Famous Catholic shrine - pilgrimage site for all religions,"church,catholic,pilgrimage,religious"
12,Vavuniya Archaeological Museum,Historical,Vavuniya,Vavuniya,3.2,200,600,8.7515,80.4969,Low,Museum with ancient artifacts from northern Sri Lanka,"museum,artifacts,historical,culture"
13,Vavuniya Archaeological Museum,Historical,Vavuniya,Vavuniya,4.5,200,600,8.7515,80.4969,Low,Museum with ancient artifacts from northern Sri Lanka,"museum,artifacts,historical,culture"
