place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags,images
1,Arugam Bay,Beach,Ampara,Ampara,3.7,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
2,Kumana National Park,Wildlife,Ampara,Ampara,4.1,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
3,Lahugala National Park,Wildlife,Ampara,Ampara,4.5,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
4,Panama Beach,Beach,Ampara,Ampara,4.8,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
5,Deegawapi Temple,Religious,Ampara,Ampara,3.6,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
6,Ampara Tank,Nature,Ampara,Ampara,3.7,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
7,Pottuvil Lagoon,Nature,Ampara,Ampara,4.6,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
8,Deegawapi Temple,Religious,Ampara,Ampara,4.5,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
9,Lahugala National Park,Wildlife,Ampara,Ampara,4.9,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
10,Lahugala National Park,Wildlife,Ampara,Ampara,4.6,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
11,Kumana National Park,Wildlife,Ampara,Ampara,3.6,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
12,Arugam Bay,Beach,Ampara,Ampara,3.5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
13,Deegawapi Temple,Religious,Ampara,Ampara,4.2,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
14,Deegawapi Temple,Religious,Ampara,Ampara,3.6,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
15,Ampara Tank,Nature,Ampara,Ampara,3.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
16,Pottuvil Lagoon,Nature,Ampara,Ampara,4.3,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
17,Lahugala National Park,Wildlife,Ampara,Ampara,3.4,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
18,Deegawapi Temple,Religious,Ampara,Ampara,4,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
19,Ampara Tank,Nature,Ampara,Ampara,3.8,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
20,Ampara Tank,Nature,Ampara,Ampara,3.1,0,400,7.2833,81.6667,Low,Large irrigation tank with bird watching,"tank,birds,nature,scenic",images/ampara_tank.jpg
21,Pottuvil Lagoon,Nature,Ampara,Ampara,4.9,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
22,Panama Beach,Beach,Ampara,Ampara,3.8,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
23,Kumana National Park,Wildlife,Ampara,Ampara,4,4000,12000,6.5872,81.7088,High,Remote wildlife sanctuary with leopards and birds,"leopard,wildlife,safari,birds",images/kumana_national_wildlife.jpg
24,Deegawapi Temple,Religious,Ampara,Ampara,3.1,300,800,6.9167,81.65,Low,Ancient Buddhist temple with sacred history,"temple,buddhist,ancient,religious",
25,Arugam Bay,Beach,Ampara,Ampara,5,500,2000,6.84,81.836,Low,World-famous surfing destination,"surf,beach,adventure,ocean",
26,Lahugala National Park,Wildlife,Ampara,Ampara,3.3,2000,5000,6.8442,81.6435,Medium,Elephant gathering near ancient tanks,"elephant,wildlife,tank,nature",images/lahugala_park.jpg
27,Pottuvil Lagoon,Nature,Ampara,Ampara,4.7,200,700,6.8833,81.8333,Low,Scenic lagoon near Arugam Bay,"lagoon,scenic,nature,birds",
28,Panama Beach,Beach,Ampara,Ampara,3.7,200,800,6.6833,81.8333,Low,Remote pristine beach near Kumana,"beach,remote,pristine,peaceful",images/panama_beach.jpg
