place_id,place_name,category,location,district,rating,budget_min_LKR,budget_max_LKR,latitude,longitude,budget_level,description,tags
1,Nilaveli Beach,Beach,Trincomalee,Trincomalee,4.1,500,2000,8.7167,81.2167,Low,One of Sri Lanka's most beautiful beaches with clear water,"beach,clear,scenic,snorkeling"
2,Koneswaram Temple,Religious,Trincomalee,Trincomalee,4.2,0,500,8.5753,81.2327,Low,Ancient Hindu temple on Swami Rock cliff,"temple,hindu,cliff,scenic,religious"
3,Trincomalee Natural Harbour,Nature,Trincomalee,Trincomalee,3.9,200,800,8.5922,81.1996,Low,One of world's finest natural harbours,"harbour,scenic,nature,historic"
4,Pigeon Island,Wildlife,Trincomalee,Trincomalee,4.0,1500,4000,8.75,81.2167,Medium,Marine national park with coral reefs and reef sharks,"coral,marine,snorkeling,fish,wildlife"
5,Fort Frederick,Historical,Trincomalee,Trincomalee,4.4,0,500,8.5753,81.2327,Low,Dutch fort with resident deer - unique experience,"fort,deer,colonial,historical"
6,Marble Beach,Beach,Trincomalee,Trincomalee,4.4,300,1000,8.5333,81.2667,Low,Clean beach near naval base with calm waters,"beach,calm,scenic,peaceful"
7,Hot Springs Kanniya,Nature,Trincomalee,Trincomalee,3.9,200,600,8.6,81.1833,Low,Ancient hot water springs with historical significance,"hotspring,ancient,nature,unique"
8,Seruwila Temple,Religious,Trincomalee,Trincomalee,4.0,300,800,8.3,81.1,Low,Ancient Buddhist temple near Trincomalee,"temple,buddhist,ancient,religious"
9,Dutch Bay,Beach,Trincomalee,Trincomalee,3.9,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
10,Whale Watching Trincomalee,Wildlife,Trincomalee,Trincomalee,4.5,5000,12000,8.5922,81.1996,High,Best whale watching spot in Sri Lanka,"whale,dolphin,ocean,wildlife"
11,Seruwila Temple,Religious,Trincomalee,Trincomalee,3.6,300,800,8.3,81.1,Low,Ancient Buddhist temple near Trincomalee,"temple,buddhist,ancient,religious"
12,Hot Springs Kanniya,Nature,Trincomalee,Trincomalee,4.4,200,600,8.6,81.1833,Low,Ancient hot water springs with historical significance,"hotspring,ancient,nature,unique"
13,Fort Frederick,Historical,Trincomalee,Trincomalee,4.4,0,500,8.5753,81.2327,Low,Dutch fort with resident deer - unique experience,"fort,deer,colonial,historical"
14,Fort Frederick,Historical,Trincomalee,Trincomalee,3.7,0,500,8.5753,81.2327,Low,Dutch fort with resident deer - unique experience,"fort,deer,colonial,historical"
15,Pigeon Island,Wildlife,Trincomalee,Trincomalee,3.4,1500,4000,8.75,81.2167,Medium,Marine national park with coral reefs and reef sharks,"coral,marine,snorkeling,fish,wildlife"
16,Trincomalee Natural Harbour,Nature,Trincomalee,Trincomalee,4.0,200,800,8.5922,81.1996,Low,One of world's finest natural harbours,"harbour,scenic,nature,historic"
17,Seruwila Temple,Religious,Trincomalee,Trincomalee,4.5,300,800,8.3,81.1,Low,Ancient Buddhist temple near Trincomalee,"temple,buddhist,ancient,religious"
18,Whale Watching Trincomalee,Wildlife,Trincomalee,Trincomalee,3.7,5000,12000,8.5922,81.1996,High,Best whale watching spot in Sri Lanka,"whale,dolphin,ocean,wildlife"
19,Dutch Bay,Beach,Trincomalee,Trincomalee,4.8,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
20,Dutch Bay,Beach,Trincomalee,Trincomalee,4.6,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
21,Pigeon Island,Wildlife,Trincomalee,Trincomalee,4.5,1500,4000,8.75,81.2167,Medium,Marine national park with coral reefs and reef sharks,"coral,marine,snorkeling,fish,wildlife"
22,Whale Watching Trincomalee,Wildlife,Trincomalee,Trincomalee,4.7,5000,12000,8.5922,81.1996,High,Best whale watching spot in Sri Lanka,"whale,dolphin,ocean,wildlife"
23,Koneswaram Temple,Religious,Trincomalee,Trincomalee,4.1,0,500,8.5753,81.2327,Low,Ancient Hindu temple on Swami Rock cliff,"temple,hindu,cliff,scenic,religious"
24,Dutch Bay,Beach,Trincomalee,Trincomalee,4.4,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
25,Koneswaram Temple,Religious,Trincomalee,Trincomalee,4.8,0,500,8.5753,81.2327,Low,Ancient Hindu temple on Swami Rock cliff,"temple,hindu,cliff,scenic,religious"
26,Koneswaram Temple,Religious,Trincomalee,Trincomalee,3.1,0,500,8.5753,81.2327,Low,Ancient Hindu temple on Swami Rock cliff,"temple,hindu,cliff,scenic,religious"
27,Dutch Bay,Beach,Trincomalee,Trincomalee,4.8,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
28,Pigeon Island,Wildlife,Trincomalee,Trincomalee,4.1,1500,4000,8.75,81.2167,Medium,Marine national park with coral reefs and reef sharks,"coral,marine,snorkeling,fish,wildlife"
29,Trincomalee Natural Harbour,Nature,Trincomalee,Trincomalee,3.3,200,800,8.5922,81.1996,Low,One of world's finest natural harbours,"harbour,scenic,nature,historic"
30,Dutch Bay,Beach,Trincomalee,Trincomalee,3.9,200,800,8.5667,81.2167,Low,Calm bay with good swimming conditions,"beach,bay,calm,scenic"
31,Pigeon Island,Wildlife,Trincomalee,Trincomalee,4.4,1500,4000,8.75,81.2167,Medium,Marine national park with coral reefs and reef sharks,"coral,marine,snorkeling,fish,wildlife"
